Title: Health Insurance Coverage of the Total Population | The Henry J. Kaiser Family Foundation,,,,,,,,
Timeframe: 2016,,,,,,,,
Location,Employer,Non-Group,Medicaid,Medicare,Other Public,Uninsured,Insured,Total
Utah,0.6,0.07,0.1,0.1,N/A,0.12,0.87,1
Vermont,0.47,0.09,0.2,0.16,0.02,0.05,0.94,1
Virginia,0.55,0.05,0.12,0.14,0.05,0.1,0.91,1
Washington,0.49,0.07,0.22,0.13,0.02,0.07,0.93,1
West Virginia,0.43,0.04,0.26,0.18,0.01,0.07,0.92,1
Wisconsin,0.56,0.05,0.16,0.14,0.02,0.07,0.93,1
Wyoming,0.55,0.07,0.13,0.14,0.03,0.1,0.92,1
,,,,,,,,
Notes,,,,,,,,
The majority of our health coverage topics are based on analysis of the Census Bureau’s March Supplement to the Current Population Survey (the CPS Annual Social and Economic Supplement or ASEC) by the Kaiser Program on Medicaid and the Uninsured. The CPS supplement is the primary source of annual health insurance coverage information in the United States.,,,,,,,,
,,,,,,,,
"In this analysis, income (mostly categorized as a percent of the federal poverty level) is aggregated by Census-defined family units. Analyzing income by family unit captures income available to a group of people who are likely sharing resources. However, family units may not be the appropriate measure for capturing eligibility for health insurance.  Eligibility for health insurance is more accurately estimated using ""health insurance units,"" which may be counted differently for different types of insurance (such as Medicaid or employer coverage).",,,,,,,,
,,,,,,,,
Data exclude a small number of people with private coverage of an unknown source.  Data may not sum to totals due to rounding and the exclusion of these people.,,,,,,,,
,,,,,,,,
Sources,,,,,,,,
"Kaiser Family Foundation estimates based on the Census Bureau's March Current Population Survey (CPS: Annual Social and Economic Supplements), 2014-2017.",,,,,,,,
,,,,,,,,
Definitions,,,,,,,,
"The ASEC asks respondents about their health insurance coverage throughout the previous calendar year. Respondents may report having more than one type of coverage. In this analysis, individuals are sorted into only one category of insurance coverage using the following hierarchy:",,,,,,,,
,,,,,,,,
"*Medicaid*: Includes those covered by Medicaid, the Children’s Health Insurance Program (CHIP), and those who have both Medicaid and another type of coverage, such as dual eligibles who are also covered by Medicare.",,,,,,,,
,,,,,,,,
"*Medicare*: Includes those covered by Medicare, Medicare Advantage, and those who have Medicare and another type of non-Medicaid coverage where Medicare is the primary payer. Excludes those with Medicare Part A coverage only and those covered by Medicare and Medicaid (dual eligibles).",,,,,,,,
,,,,,,,,
*Employer*: Includes those covered by employer-sponsored coverage either through their own job or as a dependent in the same household.,,,,,,,,
,,,,,,,,
*Other Public*: Includes those covered under the military or Veterans Administration.,,,,,,,,
,,,,,,,,
*Non-Group*: Includes individuals and families that purchased or are covered as a dependent by non-group insurance.,,,,,,,,
,,,,,,,,
*Uninsured*: Includes those without health insurance and those who have coverage under the Indian Health Service only.,,,,,,,,
,,,,,,,,
"For example, a person having Medicaid coverage in the first half of the year but employer-based coverage in the last months of the year would be categorized as having Medicaid coverage in this analysis.",,,,,,,,
,,,,,,,,
*N/A*: Estimates with relative standard errors greater than 30% are not provided.,,,,,,,,
