City,Country,State Province,Latitude (generated),Longitude (generated)
Schönbach,DE,SN,,
Schmölln-Putzkau,DE,SN,,
Schmannewitz,DE,SN,,
Schlettau,DE,SN,,
Schlema,DE,SN,,
Schkeuditz,DE,SN,51.3964,12.2219
Schirgiswalde,DE,SN,,
Schildau,DE,SN,,
Scheibenberg,DE,SN,,
Sankt Egidien,DE,SN,,
Rüsseina,DE,SN,,
Rothenburg,DE,SN,,
Rötha,DE,SN,,
Roßwein,DE,SN,,
Rossau,DE,SN,,
Rosenthal-Bielatal,DE,SN,,
Röhrsdorf,DE,SN,,
Rodewisch,DE,SN,,
Rochlitz,DE,SN,,
Riesa,DE,SN,51.306,13.2922
Remse,DE,SN,,
Reinsdorf,DE,SN,,
Reinsberg,DE,SN,,
Reichenbach/Vogtland,DE,SN,50.6236,12.2905
Reichenbach,DE,SN,,
Regis-Breitingen,DE,SN,,
Rechenberg-Bienenmühle,DE,SN,,
Raschau,DE,SN,,
Radibor,DE,SN,,
Radefeld,DE,SN,,
Radeburg,DE,SN,,
Radebeul,DE,SN,51.1001,13.6777
Radeberg,DE,SN,51.1189,13.9208
Rackwitz,DE,SN,,
Pulsnitz,DE,SN,,
Posthausen,DE,SN,,
Porschendorf,DE,SN,,
Pockau,DE,SN,,
Plauen,DE,SN,50.494,12.1357
Pirna,DE,SN,50.9579,13.9395
Penig,DE,SN,,
Pegau,DE,SN,,
Pausa,DE,SN,,
Ottendorf-Okrilla,DE,SN,,
Ostritz,DE,SN,,
Ostrau,DE,SN,,
Oßling,DE,SN,,
Oschatz,DE,SN,51.3,13.1052
Oppach,DE,SN,,
Olbernhau,DE,SN,,
Ohorn,DE,SN,,
Oelsnitz/Erzgebirge,DE,SN,,
Oelsnitz,DE,SN,,
Oederan,DE,SN,,
Oberlungwitz,DE,SN,,
Oberlichtenau,DE,SN,,
Oberlauterbach,DE,SN,,
Oberau,DE,SN,,
Nünchritz,DE,SN,,
Nossen,DE,SN,,
Niesky,DE,SN,,
Niederwürschnitz,DE,SN,,
Niederstriegis,DE,SN,,
Niederdorf,DE,SN,,
Niederau,DE,SN,,
Neustadt in Sachsen,DE,SN,,
Neustadt,DE,SN,,
Neusalza-Spremberg,DE,SN,,
Neumark,DE,SN,,
Neukirchen/Pleiße,DE,SN,,
Neukirchen/Erzgebirge,DE,SN,,
Neukirch/Lausitz,DE,SN,,
Neukirch,DE,SN,,
Neugersdorf,DE,SN,,
Neuensalz,DE,SN,,
Neißeaue,DE,SN,,
Nebelschütz,DE,SN,,
Naunhof,DE,SN,,
NA,DE,SN,,
Mylau,DE,SN,,
Mutzschen,DE,SN,,
Mülsen,DE,SN,,
Mulda,DE,SN,,
Mühlau,DE,SN,,
Müglitztal,DE,SN,,
Mügeln,DE,SN,,
Mücka,DE,SN,,
Moritzburg,DE,SN,,
Mohorn,DE,SN,,
Mockrehna,DE,SN,,
Mochau,DE,SN,,
Mittweida,DE,SN,50.9857,12.9705
Mildenau,DE,SN,,
Meißen,DE,SN,51.1646,13.4726
Meerane,DE,SN,50.8482,12.4616
Markranstädt,DE,SN,51.3016,12.2208
Markneukirchen,DE,SN,,
Markkleeberg,DE,SN,51.2807,12.3768
Mark,DE,SN,,
Marienberg,DE,SN,50.6506,13.1641
Malschwitz,DE,SN,,
Machern,DE,SN,,
Lunzenau,DE,SN,,
Lugau/Erzgebirge,DE,SN,,
Lugau,DE,SN,,
Lößnitz,DE,SN,,
Lommatzsch,DE,SN,,
Lohmen,DE,SN,,
Löbnitz,DE,SN,,
Löbau,DE,SN,51.0955,14.6663
Lippendorf,DE,SN,,
Limbach-Oberfrohna,DE,SN,50.8586,12.768
Liebstadt,DE,SN,,
Lichtentanne,DE,SN,,
Lichtenstein/Sachsen,DE,SN,,
Lichtenstein,DE,SN,,
Lichtenberg/Erzgeb.,DE,SN,,
Lichtenau,DE,SN,,
Leupoldishain,DE,SN,,
Leubsdorf,DE,SN,,
Leppersdorf,DE,SN,,
Lengenfeld,DE,SN,,
Lengefeld,DE,SN,,
Leisnig,DE,SN,,
Leipzig,DE,SN,51.3452,12.3859
Lawalde,DE,SN,,
Lauta,DE,SN,,
Laußnitz,DE,SN,,
Langenweißbach,DE,SN,,
Langenbernsdorf,DE,SN,,
Landkreis Sächsische Schweiz,DE,SN,,
Lampertswalde,DE,SN,,
Kyhna,DE,SN,,
Kurort Oberwiesenthal,DE,SN,,
Kubschütz,DE,SN,,
Krostitz,DE,SN,,
Kriebstein,DE,SN,,
Kreischa,DE,SN,,
Kreba-Neudorf,DE,SN,,
Krauschwitz,DE,SN,,
Königstein/Sächsische Schweiz,DE,SN,,
Königstein,DE,SN,,
Königshain-Wiederau,DE,SN,,
Königsbrück,DE,SN,,
Kohren-Sahlis,DE,SN,,
Kodersdorf,DE,SN,,
Klosterhäuser,DE,SN,,
Klipphausen,DE,SN,,
Klingenthal,DE,SN,,
Klingenberg,DE,SN,,
Kitzscher,DE,SN,,
Kirschau,DE,SN,,
Kirchberg,DE,SN,,
Ketzerbachtal,DE,SN,,
Kesselsdorf,DE,SN,,
Kauschwitz,DE,SN,,
Kamenz,DE,SN,51.2703,14.1029
Kalkwerk,DE,SN,,
Jössnitz,DE,SN,,
Jöhstadt,DE,SN,,
Jesewitz,DE,SN,,
Jahnsdorf,DE,SN,,
Hoyerswerda,DE,SN,51.439,14.2443
Hohenstein-Ernstthal,DE,SN,50.8021,12.7073
Hohenlohe,DE,SN,,
Hohendubrau,DE,SN,,
Hochkirch,DE,SN,,
Heynitz,DE,SN,,
Herrnhut,DE,SN,,
Hermsdorf/Erzgebirge,DE,SN,,
Heinsdorfergrund,DE,SN,,
Heidenau,DE,SN,50.9817,13.8601
Hauswalde,DE,SN,,
Hartmannsdorf bei Kirchberg,DE,SN,,
Hartmannsdorf,DE,SN,,
Hartha,DE,SN,,
Hartenstein,DE,SN,,
Hammerbrücke,DE,SN,,
Halsbrücke,DE,SN,,
Hainichen,DE,SN,,
Hähnichen,DE,SN,,
Guttau,DE,SN,,
Grünbach,DE,SN,,
Großweitzschen,DE,SN,,
Großschweidnitz,DE,SN,,
Großschönau,DE,SN,,
Großschirma,DE,SN,,
Großrückerswalde,DE,SN,,
Großröhrsdorf,DE,SN,,
Großpostwitz/Oberlausitz,DE,SN,,
Großpösna,DE,SN,,
Großlehna,DE,SN,,
Großhartmannsdorf,DE,SN,,
Großenhain,DE,SN,51.2943,13.5358
Gröditz,DE,SN,,
Grimma,DE,SN,51.2369,12.7294
Gornsdorf,DE,SN,,
Gornau,DE,SN,,
Görlitz,DE,SN,51.1549,14.9865
Gohlis,DE,SN,,
Göda,DE,SN,,
Glauchau,DE,SN,50.8255,12.5384
Glaubitz,DE,SN,,
Glashütte,DE,SN,,
Geyer,DE,SN,,
Gersdorf,DE,SN,,
Geringswalde,DE,SN,,
Gerichshain,DE,SN,,
Gelenau/Erzgebirge,DE,SN,,
Gelenau,DE,SN,,
Geithain,DE,SN,,
Geising,DE,SN,,
Gallen,DE,SN,,
Frohburg,DE,SN,,
Freital,DE,SN,51.0138,13.664
Freiberg,DE,SN,50.917,13.3396
Fraureuth,DE,SN,,
Frauenstein,DE,SN,,
Frankenberg / Sa.,DE,SN,,
Flöha,DE,SN,,
Falkenstein/Vogtland,DE,SN,,
Falkenstein,DE,SN,,
Falkenau,DE,SN,,
Eutritzsch,DE,SN,,
Erlau,DE,SN,,
Elterlein,DE,SN,,
Elsterheide,DE,SN,,
Ellefeld,DE,SN,,
Eilenburg,DE,SN,51.4603,12.6344
Eichigt,DE,SN,,
Eich,DE,SN,,
Eibenstock,DE,SN,,
Eibau,DE,SN,,
Ehrenfriedersdorf,DE,SN,,
Ebersbach,DE,SN,,
Dürrweitzschen,DE,SN,,
Dürrröhrsdorf,DE,SN,,
Dresden Innere Altstadt,DE,SN,,
Dresden Gompitz,DE,SN,,
Dresden Blasewitz,DE,SN,,
Dresden,DE,SN,51.0536,13.7408
Drebach,DE,SN,,
Dorfhain,DE,SN,,
Dommitzsch,DE,SN,,
Dohna,DE,SN,,
Dohma,DE,SN,,
Doberschütz,DE,SN,,
Doberschau-Gaußig,DE,SN,,
Doberschau,DE,SN,,
Döbernitz,DE,SN,,
Döbeln,DE,SN,51.119,13.1181
Dippoldiswalde,DE,SN,,
Diera-Zehren,DE,SN,,
Demitz-Thumitz,DE,SN,,
Delitzsch,DE,SN,51.5227,12.3439
Dahlen,DE,SN,,
Cunewalde,DE,SN,,
Crottendorf,DE,SN,,
Crostwitz,DE,SN,,
Crossen,DE,SN,,
Crimmitschau,DE,SN,50.8183,12.3922
Coswig,DE,SN,51.1254,13.5805
Colditz,DE,SN,,
Chemnitzer Land,DE,SN,,
Chemnitz,DE,SN,50.8366,12.921
Callenberg,DE,SN,,
Burkhardtsdorf,DE,SN,,
Burkau,DE,SN,,
Burgstädt,DE,SN,,
Burgneudorf,DE,SN,,
Burghausen,DE,SN,,
Breitenfeld,DE,SN,,
Breitenbrunn,DE,SN,,
Brandis,DE,SN,,
Brand-Erbisdorf,DE,SN,,
Boxberg/Oberlausitz,DE,SN,,
