"","city","stateProvince","country","ncity"
"153","Am Bahnhof","SN","DE",115
"154","Amberg","BY","DE",1223
"155","Amelinghausen","NI","DE",1
"156","Amerang","BY","DE",102
"157","Ammeldingen","RP","DE",22
"158","Ammerbuch","BW","DE",75
"159","Ammerland","BY","DE",2
"160","Ammern","TH","DE",11
"161","Ammerndorf","BY","DE",75
"162","Ammersbek","SH","DE",45
"163","Ammersee","BY","DE",3
"164","Amorbach","BY","DE",85
"165","Ampermoching","BY","DE",20
"166","Ampfing","BY","DE",89
"167","Amstetten","BW","DE",16
"168","Amtsberg","SN","DE",18
"169","Amtzell","BW","DE",278
"170","Andechs","BY","DE",41
"171","Andernach","RP","DE",519
"172","Angelbachtal","BW","DE",14
"173","Angelburg","HE","DE",24
"174","Angermünde","BB","DE",120
"175","Angersbach","HE","DE",45
"176","Anholt","NW","DE",5
"177","Anklam","MV","DE",243
"178","Ankum","NI","DE",169
"179","Annaberg-Buchholz","SN","DE",381
"180","Annaburg","ST","DE",67
"181","Annweiler am Trifels","RP","DE",129
"182","Anröchte","NW","DE",218
"183","Ansbach","BY","DE",1356
"184","Ansiedlung Mettenhof","SH","DE",5
"185","Antdorf","BY","DE",6
"186","Anzing","BY","DE",91
"187","Apen","NI","DE",57
"188","Apenburg","ST","DE",1
"189","Apensen","NI","DE",144
"190","Apfelstädt","TH","DE",123
"191","Apolda","TH","DE",543
"192","Appel","NI","DE",2
"193","Appen","SH","DE",39
"194","Appenheim","RP","DE",30
"195","Appenweier","BW","DE",233
"196","Arensdorf","ST","DE",9
"197","Aretsried","BY","DE",110
"198","Argenbühl","BW","DE",14
"199","Arnbruck","BY","DE",1
"200","Arneburg","ST","DE",17
"201","Arnsberg","NW","DE",1406
"202","Arnsdorf","SN","DE",11
"203","Arnsdorf","ST","DE",54
"204","Arnstadt","TH","DE",994
"205","Arnstein","BY","DE",111
"206","Arnstein","ST","DE",6
"207","Arnstorf","BY","DE",78
"208","Arrach","BY","DE",12
"209","Artern","TH","DE",205
"210","Artlenburg","NI","DE",19
"211","Arzbach","RP","DE",6
"212","Arzberg","BY","DE",49
"213","Arzfeld","RP","DE",18
"214","Asbach","BW","DE",1
"215","Asbach","BY","DE",4
"216","Asbach","RP","DE",83
"217","Asbach-Bäumenheim","BY","DE",95
"218","Aschaffenburg","BY","DE",2506
"219","Aschau","BY","DE",50
"220","Aschau","TH","DE",57
"221","Aschau a.Inn","BY","DE",21
"222","Aschau am Inn","BY","DE",166
"223","Aschau im Chiemgau","BY","DE",87
"224","Ascheberg","NW","DE",247
"225","Ascheberg","SH","DE",56
"226","Aschendorf","NI","DE",3
"227","Aschersleben","ST","DE",669
"228","Aschheim","BY","DE",769
"229","Aspach","BW","DE",145
"230","Asperg","BW","DE",185
"231","Assamstadt","BW","DE",144
"232","Aßlar","HE","DE",131
"233","Attendorn","NW","DE",1035
"234","Atzelgift","RP","DE",61
"235","Au am Rhein","BW","DE",3
"236","Au in der Hallertau","BY","DE",45
"237","Aub","BY","DE",4
"238","Auderath","RP","DE",2
"239","Aue","SN","DE",255
"240","Aue","ST","DE",5
"241","Auengrund","TH","DE",263
"242","Auenwald","BW","DE",68
"243","Auerbach","BY","DE",267
"244","Auerbach","SN","DE",300
"245","Auetal","NI","DE",43
"246","Aufham","BY","DE",34
"247","Auggen","BW","DE",2
"248","Augsburg","BY","DE",13149
"249","Augsburg, Stadt","BY","DE",26
"250","Augustdorf","NW","DE",145
"251","Augustusburg","SN","DE",56
"252","Aulendorf","BW","DE",170
"253","Auma","TH","DE",66
"254","Aumühle","SH","DE",4
"255","Aura an der Saale","BY","DE",17
"256","Aurach","BY","DE",21
"257","Aurachtal","BY","DE",9
"258","Aurich","NI","DE",1191
"259","Ausleben","ST","DE",25
"260","Aying","BY","DE",18
"261","Ayl","RP","DE",15
"262","Aystetten","BY","DE",4
"263","Azmannsdorf","TH","DE",10
"264","Baar","BW","DE",7
"265","Baar","BY","DE",41
"266","Baar-Ebenhausen","BY","DE",163
"267","Babenhausen","BY","DE",43
"268","Babenhausen","HE","DE",548
"269","Backnang","BW","DE",809
"270","Bad","BY","DE",5
"271","Bad Abbach","BY","DE",113
"272","Bad Aibling","BY","DE",555
"273","Bad Alexandersbad","BY","DE",57
"274","Bad Arolsen","HE","DE",162
"275","Bad Bellingen","BW","DE",28
"276","Bad Bentheim","NI","DE",251
"277","Bad Bergzabern","RP","DE",76
"278","Bad Berka","TH","DE",7
"279","Bad Berleburg","NW","DE",168
"280","Bad Berleburg Bad Berleburg","NW","DE",31
"281","Bad Berleburg Wingeshausen","NW","DE",28
"282","Bad Berneck im Fichtelgebirge","BY","DE",53
"283","Bad Bertrich","RP","DE",53
"284","Bad Bevensen","NI","DE",310
"285","Bad Bibra","ST","DE",16
"286","Bad Birnbach","BY","DE",88
"287","Bad Blankenburg","TH","DE",53
"288","Bad Bocklet","BY","DE",96
"289","Bad Boll","BW","DE",426
"290","Bad Bramstedt","SH","DE",369
"291","Bad Breisig","RP","DE",45
"292","Bad Brückenau","BY","DE",218
"293","Bad Buchau","BW","DE",48
"294","Bad Camberg","HE","DE",294
"295","Bad Cannstatt","BW","DE",74
"296","Bad Colberg-Heldburg","TH","DE",72
"297","Bad Ditzenbach","BW","DE",1
"298","Bad Doberan","MV","DE",181
"299","Bad Driburg","NW","DE",350
"300","Bad Düben","SN","DE",106
"301","Bad Dürkheim","RP","DE",470
"302","Bad Dürrenberg","ST","DE",140
"303","Bad Dürrheim","BW","DE",262
"304","Bad Eilsen","NI","DE",49
"305","Bad Elster","SN","DE",147
"306","Bad Ems","RP","DE",161
"307","Bad Emstal","HE","DE",73
"308","Bad Endbach","HE","DE",3
"309","Bad Endorf","BY","DE",119
"310","Bad Essen","NI","DE",400
"311","Bad Feilnbach","BY","DE",78
"312","Bad Frankenhausen","TH","DE",45
"313","Bad Freienwalde","BB","DE",37
"314","Bad Friedrichshall","BW","DE",138
"315","Bad Füssing","BY","DE",256
"316","Bad Gandersheim","NI","DE",90
"317","Bad Godesberg","NW","DE",231
"318","Bad Gottleuba","SN","DE",52
"319","Bad Griesbach","BY","DE",89
"320","Bad Grönenbach","BY","DE",173
"321","Bad Grund (Harz)","NI","DE",79
"322","Bad Harzburg","NI","DE",315
"323","Bad Heilbrunn","BY","DE",56
"324","Bad Herrenalb","BW","DE",122
"325","Bad Hersfeld","HE","DE",900
"326","Bad Hindelang","BY","DE",116
"327","Bad Homburg vor der Höhe","HE","DE",2342
"328","Bad Honnef","NW","DE",312
"329","Bad Hönningen","RP","DE",61
"330","Bad Iburg","NI","DE",63
"331","Bad Karlshafen","HE","DE",25
"332","Bad Karlshafen","NI","DE",1
"333","Bad Kissingen","BY","DE",514
"334","Bad Kleinen","MV","DE",17
"335","Bad Klosterlausnitz","TH","DE",21
"336","Bad König","HE","DE",29
"337","Bad Königshofen im Grabfeld","BY","DE",113
"338","Bad Kösen","ST","DE",18
"339","Bad Köstritz","TH","DE",19
"340","Bad Kötzting","BY","DE",109
"341","Bad Kreuznach","RP","DE",2285
"342","Bad Krozingen","BW","DE",72
"343","Bad Laasphe","NW","DE",164
"344","Bad Laer","NI","DE",49
"345","Bad Langensalza","TH","DE",465
"346","Bad Lausick","SN","DE",116
"347","Bad Lauterberg","NI","DE",40
"348","Bad Lauterberg im Harz","NI","DE",19
"349","Bad Liebenstein","TH","DE",46
"350","Bad Liebenwerda","BB","DE",35
"351","Bad Liebenzell","BW","DE",137
"352","Bad Lippspringe","NW","DE",265
"353","Bad Marienberg","RP","DE",176
"354","Bad Mergentheim","BW","DE",1015
"355","Bad Münder am Deister","NI","DE",151
"356","Bad Münstereifel","NW","DE",209
"357","Bad Muskau","SN","DE",9
"358","Bad Nauheim","HE","DE",440
"359","Bad Nenndorf","NI","DE",203
"360","Bad Neuenahr","RP","DE",22
"361","Bad Neuenahr-Ahrweiler","RP","DE",425
"362","Bad Neustadt an der Saale","BY","DE",1015
"363","Bad Oeynhausen","NW","DE",1277
"364","Bad Oldesloe","SH","DE",498
"365","Bad Orb","HE","DE",103
"366","Bad Peterstal","BW","DE",21
"367","Bad Peterstal-Griesbach","BW","DE",18
"368","Bad Pyrmont","NI","DE",181
"369","Bad Rappenau","BW","DE",272
"370","Bad Reichenhall","BY","DE",331
"371","Bad Rippoldsau-Schapbach","BW","DE",2
"372","Bad Rodach","BY","DE",442
"373","Bad Rothenfelde","NI","DE",28
"374","Bad Rothenfelde","NW","DE",4
"375","Bad Saarow","BB","DE",198
"376","Bad Saarow Bad Saarow","BB","DE",30
"377","Bad Sachsa","NI","DE",100
"378","Bad Säckingen","BW","DE",632
"379","Bad Salzdetfurth","NI","DE",77
"380","Bad Salzschlirf","HE","DE",171
"381","Bad Salzuflen","NW","DE",859
"382","Bad Salzungen","TH","DE",418
"383","Bad Sassendorf","NW","DE",93
"384","Bad Schandau","SN","DE",63
"385","Bad Schmiedeberg","ST","DE",86
"386","Bad Schönborn","BW","DE",130
"387","Bad Schussenried","BW","DE",142
"388","Bad Schwalbach","HE","DE",21
"389","Bad Schwartau","SH","DE",83
"390","Bad Segeberg","SH","DE",681
"391","Bad Sobernheim","RP","DE",231
"392","Bad Soden-Salmünster","HE","DE",131
"393","Bad Soden am Taunus","HE","DE",146
"394","Bad Sooden-Allendorf","HE","DE",109
"395","Bad Staffelstein","BY","DE",357
"396","Bad Steben","BY","DE",84
"397","Bad Sülze","MV","DE",9
"398","Bad Teinach-Zavelstein","BW","DE",8
"399","Bad Tennstedt","TH","DE",89
"400","Bad Tölz","BY","DE",399
"401","Bad Überkingen","BW","DE",29
"402","Bad Urach","BW","DE",184
"403","Bad Vilbel","HE","DE",669
"404","Bad Waldsee","BW","DE",212
"405","Bad Wiessee","BY","DE",132
"406","Bad Wildbad im Schwarzwald","BW","DE",166
"407","Bad Wildungen","HE","DE",306
"408","Bad Wilsnack","BB","DE",5
"409","Bad Wimpfen","BW","DE",137
"410","Bad Windsheim","BY","DE",94
"411","Bad Wörishofen","BY","DE",244
"412","Bad Wünnenberg","NW","DE",225
"413","Bad Wurzach","BW","DE",115
"414","Bad Zwesten","HE","DE",20
"415","Bad Zwischenahn","NI","DE",340
"416","Badbergen","NI","DE",28
"417","Baddeckenstedt","NI","DE",63
"418","Baden","NI","DE",66
"419","Baden-Baden","BW","DE",2926
"420","Badenheim","RP","DE",1
"421","Badenweiler","BW","DE",185
"422","Badra","TH","DE",5
"423","Baesweiler","NW","DE",79
"424","Bahnsdorf","BB","DE",27
"425","Bahretal","SN","DE",27
"426","Baienfurt","BW","DE",91
"427","Baierbrunn","BY","DE",41
"428","Baiersbronn","BW","DE",253
"429","Baiersdorf","BY","DE",296
"430","Baindt","BW","DE",119
"431","Bakum","NI","DE",29
"432","Balderschwang","BY","DE",69
"433","Baldham","BY","DE",1
"434","Balingen","BW","DE",1064
"435","Ballenstedt","ST","DE",7
"436","Ballrechten-Dottingen","BW","DE",34
"437","Balow","MV","DE",4
"438","Baltmannsweiler","BW","DE",13
"439","Baltrum","NI","DE",3
"440","Balve","NW","DE",3
"441","Balzheim","BW","DE",17
"442","Bamberg","BY","DE",2580
"443","Bannesdorf","SH","DE",2
"444","Bannewitz","SN","DE",2
"445","Banzkow","MV","DE",26
"446","Barbing","BY","DE",39
"447","Barby","ST","DE",3
"448","Barchfeld","TH","DE",85
"449","Bardowick","NI","DE",146
"450","Barenburg","NI","DE",8
"451","Bärenstein","SN","DE",116
"452","Bärenthal","BW","DE",11
"453","Bargstedt","NI","DE",1
"454","Bargstedt","SH","DE",1
"455","Bargteheide","SH","DE",267
"456","Barleben","ST","DE",409
"457","Barmstedt","SH","DE",241
"458","Bärnbach","BY","DE",18
"459","Barnstorf","NI","DE",41
"460","Barntrup","NW","DE",32
"461","Barsbüttel","SH","DE",421
"462","Barsinghausen","NI","DE",504
"463","Barßel","NI","DE",119
"464","Bartenshagen-Parkentin","MV","DE",3
"465","Barth","MV","DE",46
"466","Barum","NI","DE",35
"467","Baruth","BB","DE",27
"468","Baruth/Mark","BB","DE",65
"469","Basdorf","SH","DE",50
"470","Basel","NW","DE",51
"471","Bassenheim","RP","DE",13
"472","Bassum","NI","DE",169
"473","Basthorst","SH","DE",1
"474","Battenberg (Eder)","HE","DE",37
"475","Battgendorf","TH","DE",1
"476","Baumholder","RP","DE",141
"477","Baunach","BY","DE",139
"478","Baunatal","HE","DE",313
"479","Bautzen","SN","DE",1594
"480","Bawinkel","NI","DE",22
"481","Bayerbach","BY","DE",10
"482","Bayerisch Gmain","BY","DE",90
"483","Bayersoien","BY","DE",10
"484","Bayreuth","BY","DE",3845
"485","Bayrischzell","BY","DE",56
"486","Bebertal","ST","DE",58
"487","Bebra","HE","DE",177
"488","Bechhofen","BY","DE",158
"489","Bechhofen","RP","DE",84
"490","Bechtheim","RP","DE",18
"491","Beckedorf","NI","DE",3
"492","Beckingen","SL","DE",48
"493","Beckum","NW","DE",927
"494","Bedburg","NW","DE",130
"495","Bedburg-Hau","NW","DE",73
"496","Beelen","NW","DE",51
"497","Beelitz","BB","DE",92
"498","Beelitz Heilstätten","BB","DE",11
"499","Beerfelden","HE","DE",3
"500","Beerwalde","TH","DE",1
"501","Beeskow","BB","DE",120
"502","Beetzendorf","ST","DE",1
"503","Behringen","TH","DE",4
"504","Beierfeld","SN","DE",72
"505","Beilngries","BY","DE",147
"506","Beilrode","SN","DE",15
"507","Beilstein","BW","DE",27
"508","Beim Kronsberg","NI","DE",44
"509","Beimerstetten","BW","DE",20
"510","Bekmünde","SH","DE",4
"511","Bekond","RP","DE",5
"512","Belgershain","SN","DE",25
"513","Bellheim","RP","DE",82
"514","Belm","NI","DE",75
"515","Belzig","BB","DE",237
"516","Bempflingen","BW","DE",17
"517","Bendorf","RP","DE",133
"518","Benediktbeuern","BY","DE",57
"519","Benneckenstein","ST","DE",21
"520","Bennewitz","SN","DE",21
"521","Benningen","BY","DE",50
"522","Benningen am Neckar","BW","DE",41
"523","Bensdorf","BB","DE",6
"524","Benshausen","TH","DE",3
"525","Bensheim","HE","DE",1249
"526","Bentheim","NI","DE",4
"527","Bentwisch","MV","DE",166
"528","Benz","MV","DE",31
"529","Beratzhausen","BY","DE",50
"530","Berbersdorf","SN","DE",31
"531","Berching","BY","DE",94
"532","Berchtesgaden","BY","DE",97
"533","Berg","BY","DE",154
"534","Berg am Laim","BY","DE",12
"535","Berg bei Neumarkt in der Oberpfalz","BY","DE",55
"536","Berge","NI","DE",11
"537","Bergen","MV","DE",294
"538","Bergen","NI","DE",51
"539","Bergen (Dumme)","NI","DE",22
"540","Bergfelde","BB","DE",10
"541","Berghausen","RP","DE",6
"542","Bergheim","NW","DE",933
"543","Bergholz-Rehbrücke","BB","DE",29
"544","Berghülen","BW","DE",8
"545","Bergisch Gladbach","NW","DE",2109
"546","Bergisches Land","NW","DE",13
"547","Bergkamen","NW","DE",604
"548","Bergkirchen","BY","DE",355
"549","Berglen","BW","DE",3
"550","Berglern","BY","DE",65
"551","Bergneustadt","NW","DE",164
"552","Bergrheinfeld","BY","DE",103
"553","Bergshausen","HE","DE",3
"554","Bergstraße","NW","DE",46
"555","Berka","TH","DE",13
"556","Berka/Werra","TH","DE",230
"557","Berkheim","BW","DE",9
"558","Berkhof","NI","DE",87
"559","Berlin","BE","DE",144283
"560","Berlin","SH","DE",173
"561","Berlin-Adlershof","BE","DE",1
"562","Berlin-Altglienicke","BE","DE",5
"563","Berlin-Biesdorf","BE","DE",21
"564","Berlin-Buch","BE","DE",114
"565","Berlin-Charlottenburg","BE","DE",824
"566","Berlin-Französisch Buchholz","BE","DE",1
"567","Berlin-Friedrichshain","BE","DE",2167
"568","Berlin-Frohnau","BE","DE",2
"569","Berlin-Grünau","BE","DE",1
"570","Berlin-Hermsdorf","BE","DE",55
"571","Berlin-Hohenschönhausen","BE","DE",223
"572","Berlin-Karlshorst","BE","DE",23
"573","Berlin-Kladow","BE","DE",17
"574","Berlin-Köpenick","BE","DE",156
"575","Berlin-Kreuzberg","BE","DE",2755
"576","Berlin-Lichtenberg","BE","DE",333
"577","Berlin-Lichtenrade","BE","DE",7
"578","Berlin-Mahlsdorf","BE","DE",114
"579","Berlin-Mariendorf","BE","DE",70
"580","Berlin-Marienfelde","BE","DE",49
"581","Berlin-Marzahn","BE","DE",30
"582","Berlin-Mitte","BE","DE",2153
"583","Berlin-Neukölln","BE","DE",271
"584","Berlin-Oberschöneweide","BE","DE",148
"585","Berlin-Pankow","BE","DE",247
"586","Berlin-Prenzlauer Berg","BE","DE",155
"587","Berlin-Reinickendorf","BE","DE",429
"588","Berlin-Schöneberg","BE","DE",214
"589","Berlin-Siemensstadt","BE","DE",26
"590","Berlin-Spandau","BE","DE",698
"591","Berlin-Steglitz","BE","DE",164
"592","Berlin-Tegel","BE","DE",290
"593","Berlin-Tempelhof","BE","DE",101
"594","Berlin-Tiergarten","BE","DE",12
"595","Berlin-Treptow","BE","DE",123
"596","Berlin-Wedding","BE","DE",150
"597","Berlin-Weißensee","BE","DE",102
"598","Berlin-Wilmersdorf","BE","DE",82
"599","Berlin-Wittenau","BE","DE",1
"600","Berlin-Zehlendorf","BE","DE",44
"601","Berlingerode","TH","DE",45
"602","Bermatingen","BW","DE",66
"603","Bernau","BW","DE",25
"604","Bernau a.Chiemsee","BY","DE",74
"605","Bernau am Chiemsee","BY","DE",175
"606","Bernau bei Berlin","BB","DE",575
"607","Bernburg","ST","DE",480
"608","Berne","HH","DE",6
"609","Berne","NI","DE",219
"610","Berneck","BW","DE",3
"611","Berngau","BY","DE",10
"612","Bernhardswald","BY","DE",10
"613","Bernkastel-Kues","RP","DE",279
"614","Bernried","BY","DE",40
"615","Bernsbach","SN","DE",13
"616","Bernsdorf","SN","DE",68
"617","Bernstadt","SN","DE",18
"618","Bernstadt auf dem Eigen","SN","DE",6
"619","Bersenbrück","NI","DE",328
"620","Bersteland","BB","DE",32
"621","Bertsdorf-Hörnitz","SN","DE",62
"622","Besigheim","BW","DE",378
"623","Bessenbach","BY","DE",46
"624","Bestensee","BB","DE",79
"625","Bestwig","NW","DE",1
"626","Betzdorf","RP","DE",129
"627","Betzenstein","BY","DE",30
"628","Betzenweiler","BW","DE",7
"629","Betzigau","BY","DE",48
"630","Beucha","SN","DE",35
"631","Beuel","NW","DE",44
"632","Beuern","HE","DE",2
"633","Beuna","ST","DE",6
"634","Beverstedt","NI","DE",115
"635","Beverungen","NW","DE",75
"636","Bexbach","SL","DE",183
"637","Bezirk Spandau","BE","DE",3
"638","Biberach (Baden)","BW","DE",103
"639","Biberach an der Riß","BW","DE",2166
"640","Biberbach","BY","DE",13
"641","Bibertal","BY","DE",29
"642","Biblis","HE","DE",131
"643","Bibra","TH","DE",7
"644","Bickenbach","HE","DE",103
"645","Biebelried","BY","DE",1
"646","Biebergemünd","HE","DE",97
"647","Biebertal","HE","DE",20
"648","Biebesheim am Rhein","HE","DE",185
"649","Biedenkopf","HE","DE",194
"650","Biederitz","ST","DE",24
"651","Bielefeld","NW","DE",8407
"652","Biere","ST","DE",6
"653","Biersdorf","RP","DE",10
"654","Biesenthal","BB","DE",17
"655","Biessenhofen","BY","DE",49
"656","Bietigheim","BW","DE",93
"657","Bietigheim-Bissingen","BW","DE",2099
"658","Billbrook","HH","DE",63
"659","Billerbeck","NW","DE",62
"660","Billigheim","BW","DE",29
"661","Bilsen","SH","DE",30
"662","Binau","BW","DE",34
"663","Bindlach","BY","DE",50
"664","Bingen am Rhein","RP","DE",715
"665","Binnen","NI","DE",7
"666","Binzen","BW","DE",88
"667","Birenbach","BW","DE",11
"668","Birgland","BY","DE",19
"669","Birken-Honigsessen","RP","DE",76
"670","Birkenau","HE","DE",2
"671","Birkenfeld","BW","DE",214
"672","Birkenfeld","BY","DE",24
"673","Birkenfeld","RP","DE",115
"674","Birkenhain","SN","DE",8
"675","Birkenwerder","BB","DE",25
"676","Birstein","HE","DE",129
"677","Birtlingen","RP","DE",10
"678","Bischberg","BY","DE",40
"679","Bischoffen","HE","DE",8
"680","Bischofferode","TH","DE",44
"681","Bischofsheim","HE","DE",58
"682","Bischofsheim an der Rhön","BY","DE",86
"683","Bischofsmais","BY","DE",4
"684","Bischofswerda","SN","DE",172
"685","Bischofswiesen","BY","DE",138
"686","Bischweier","BW","DE",5
"687","Bisingen","BW","DE",48
"688","Bismark (Altmark)","ST","DE",26
"689","Bispingen","NI","DE",329
"690","Bissendorf","NI","DE",80
"691","Bissersheim","RP","DE",27
"692","Bissingen","BY","DE",22
"693","Bissingen an der Teck","BW","DE",31
"694","Bitburg","RP","DE",471
"695","Bitter","NI","DE",5
"696","Bitterfeld","SN","DE",204
"697","Bitterfeld","ST","DE",326
"698","Bittstädt","TH","DE",7
"699","Bitz","BW","DE",5
"700","Blaichach","BY","DE",159
"701","Blankenburg","ST","DE",127
"702","Blankenese","HH","DE",59
"703","Blankenfelde","BB","DE",190
"704","Blankenfelde-Mahlow","BB","DE",11
"705","Blankenhain","TH","DE",83
"706","Blankenheim","NW","DE",79
"707","Blankenrath","RP","DE",80
"708","Blankensee","MV","DE",4
"709","Blaubeuren","BW","DE",86
"710","Blaubeuren Asch","BW","DE",40
"711","Blaubeuren Seißen","BW","DE",92
"712","Blaufelden","BW","DE",80
"713","Blaustein","BW","DE",44
"714","Bleckede","NI","DE",30
"715","Bleicherode","TH","DE",63
"716","Blekendorf","SH","DE",31
"717","Blender","NI","DE",8
"718","Blieskastel","SL","DE",142
"719","Bliestorf","SH","DE",19
"720","Blomberg","NW","DE",245
"721","Blumberg","BW","DE",177
"722","Bobbau","ST","DE",31
"723","Bobenheim-Roxheim","RP","DE",71
"724","Bobingen","BY","DE",97
"725","Böblingen","BW","DE",2804
"726","Bocholt","NW","DE",1280
"727","Bochum","NW","DE",8624
"728","Bockenau","RP","DE",16
"729","Bockenem","NI","DE",45
"730","Bockenheim","RP","DE",13
"731","Bockhorn","NI","DE",6
"732","Bodelshausen","BW","DE",180
"733","Bodelwitz","TH","DE",8
"734","Boden","RP","DE",24
"735","Bodenfelde","NI","DE",79
"736","Bodenheim","RP","DE",151
"737","Bodenkirchen","BY","DE",14
"738","Bodenmais","BY","DE",58
"739","Bodenrode-Westhausen","TH","DE",11
"740","Bodensee","BW","DE",4
"741","Bodensee","NI","DE",177
