city,n()
Sioux Falls,11480
Santa Ana,11431
Cary,11390
Santa Monica,11285
Rockford,11263
Portsmouth,11141
Etobicoke,10935
Stockton,10929
Naperville,10915
North York,10811
Clinton,10736
Milford,10661
Mount Pleasant,10628
Schaumburg,10589
Waco,10564
Regensburg,10533
Cedar Rapids,10475
Newport News,10435
Herndon,10404
Duisburg,10381
Warren,10370
Farmington,10355
Appleton,10352
West Chester,10215
Silver Spring,10205
Westminster,10145
Frederick,10143
Melbourne,10097
Wuppertal,10088
Carrollton,10071
Southfield,10055
Chesapeake,10020
Richardson,9988
Darmstadt,9938
Kalamazoo,9907
Milton,9878
Chantilly,9837
Richmond Hill,9784
Guelph,9776
Brentwood,9762
Kingston,9741
Everett,9677
Bethlehem,9666
Burbank,9661
Hollywood,9639
Bedford,9622
Frisco,9616
Langley,9610
Regina,9587
New Haven,9550
Wiesbaden,9506
Costa Mesa,9488
Redwood City,9486
Santa Rosa,9462
Edison,9453
Eugene,9438
San Mateo,9403
Pleasanton,9388
Davenport,9327
Saskatoon,9282
Ocala,9235
Kitchener,9225
Waltham,9222
Danville,9201
Chesterfield,9179
Modesto,9173
Littleton,9093
Mainz,9092
King of Prussia,9086
Hillsboro,9051
Kent,9050
Denton,9033
Auburn Hills,9000
Erie,8975
Mansfield,8966
Dover,8965
Lawrenceville,8964
Greater Toronto Area,8912
Winchester,8888
Livonia,8884
Norwalk,8817
Kassel,8811
Medford,8792
Eden Prairie,8790
Fredericksburg,8787
Daytona Beach,8773
El Segundo,8748
South Bend,8734
Watertown,8698
Tyler,8695
Münster,8667
Aachen,8650
Braunschweig,8647
Spartanburg,8636
Bochum,8624
Covington,8621
Saint Charles,8593
Reading,8580
Norcross,8501
Marion,8480
Wayne,8464
Shreveport,8454
Georgetown,8443
Bradenton,8424
Bielefeld,8407
Dearborn,8375
Barrie,8348
Topeka,8345
Saint Cloud,8308
Amarillo,8288
White Plains,8256
Myrtle Beach,8247
Novi,8219
Round Rock,8216
Queens,8191
Murfreesboro,8184
Chemnitz,8173
Gaithersburg,8162
Hanover,8157
Bridgewater,8155
Clarksville,8145
Garden City,8127
Hayward,8117
Hudson,8112
Woodstock,8099
Annapolis,8091
Magdeburg,8082
Beaverton,8050
Anderson,8002
Walnut Creek,7982
Rancho Cucamonga,7939
Bowling Green,7931
Mönchengladbach,7918
Lawrence,7914
Kennesaw,7909
Beaumont,7904
Belleville,7869
Flint,7869
The Woodlands,7849
Macon,7846
Santa Barbara,7823
Chapel Hill,7773
Ulm,7746
Odessa,7743
Trenton,7651
Ogden,7649
Menlo Park,7609
Independence,7590
Newport Beach,7525
San Bernardino,7517
Somerset,7500
Joliet,7488
Sterling,7481
Falls Church,7451
Greenwood,7450
Plainfield,7426
Parsippany,7425
Newton,7418
Erfurt,7410
Morristown,7378
Manassas,7354
Kissimmee,7309
Heidelberg,7297
Bristol,7293
Addison,7253
Brandon,7245
Hampton,7197
Gilbert,7180
Kelowna,7174
Berkeley,7171
Nashua,7161
Sanford,7135
Ashland,7122
Potsdam,7122
San Marcos,7120
Freiburg,7109
Morgantown,7109
Saginaw,7087
Amherst,7083
Salisbury,7068
San Francisco Bay Area,7043
Williamsburg,7016
Lenexa,7006
Carmel,7000
North Charleston,6988
Lowell,6984
Katy,6972
Livermore,6960
Quincy,6947
Billings,6946
Minneapolis-Saint Paul,6936
Ingolstadt,6934
Bridgeport,6902
Kiel,6853
Laurel,6828
Morrisville,6788
Longview,6769
Brighton,6755
Champaign,6751
Staten Island,6751
Scranton,6741
Holland,6698
Smyrna,6680
Framingham,6670
College Station,6666
Paramus,6658
Newport,6652
Hickory,6634
Eau Claire,6612
Easton,6606
Culver City,6603
Mount Vernon,6598
Cherry Hill,6583
Leesburg,6559
McKinney,6555
Lynchburg,6541
Pompano Beach,6534
Krefeld,6528
Cypress,6525
Mason,6514
Olathe,6511
Grand Prairie,6492
Sugar Land,6490
Aberdeen,6488
Niagara Falls,6488
Saint Joseph,6482
Huntington,6440
Laredo,6435
Beverly Hills,6428
Germantown,6409
Broomfield,6408
Saint-Laurent,6402
Temecula,6401
Corona,6384
Brunswick,6383
Oxford,6357
Yonkers,6338
Conway,6323
Würzburg,6323
Lewisville,6314
Grande Prairie,6307
Spring,6302
Roswell,6282
Woodbury,6280
Largo,6278
Camden,6272
McAllen,6224
Wilkes-Barre,6213
Koblenz,6207
Melville,6188
Farmington Hills,6185
Osnabrück,6171
Northbrook,6169
Garland,6167
High Point,6151
Poughkeepsie,6138
Meridian,6112
Lübeck,6103
Thousand Oaks,6099
Elgin,6080
San Ramon,6077
Woodland Hills,6052
Stratford,6050
Rock Hill,6047
Greeley,6044
Rogers,6041
Waukesha,6038
Ludwigshafen am Rhein,6016
Eagan,5999
Oldenburg,5975
Halle (Saale),5970
Hagerstown,5952
Downers Grove,5946
Erlangen,5919
Sparks,5902
Rapid City,5883
Abbotsford,5857
Delta,5846
Andover,5844
Olympia,5837
Huntington Beach,5836
San Leandro,5830
New Brunswick,5827
Greater Sudbury,5822
Renton,5795
Kirkland,5787
Abilene,5762
La Crosse,5752
Centennial,5733
Malvern,5722
Tuscaloosa,5706
West Des Moines,5694
Ashburn,5635
Avon,5611
Bangor,5595
Woburn,5573
Long Island,5564
Heilbronn,5547
Panama City,5545
Youngstown,5543
Evanston,5536
Sterling Heights,5515
Port Saint Lucie,5505
Rome,5498
Altoona,5496
Union City,5495
Marysville,5491
Johnson City,5488
Traverse City,5488
Coral Gables,5482
Temple,5465
Elkhart,5435
Loveland,5414
Lima,5401
Pueblo,5392
Bentonville,5391
Brookfield,5383
Marlborough,5377
Portage,5361
Vernon,5353
Lake Forest,5344
South San Francisco,5330
Arlington Heights,5321
Hammond,5320
Bellingham,5303
Warwick,5286
St. John's,5279
Jonesboro,5270
Redding,5269
Mount Laurel,5262
Vienna,5254
Bolingbrook,5233
Newmarket,5215
Towson,5212
Lake Charles,5188
St. Catharines,5162
Danbury,5156
Brockton,5155
Palmdale,5154
Utica,5149
Wausau,5135
New Castle,5130
Oshawa,5114
Brea,5107
Chico,5097
Visalia,5094
Grapevine,5088
Industry,5088
Ventura,5085
Rancho Cordova,5075
Longueuil,5070
Oceanside,5066
Fort Smith,5060
Bend,5058
Terre Haute,5050
Saint Augustine,5025
Oshkosh,5008
Greenwood Village,5004
New Albany,4980
North Vancouver,4977
Kenosha,4974
Joplin,4971
Santa Clara Valley,4967
Rostock,4962
Neuss,4939
Milpitas,4936
Mesquite,4926
Minnetonka,4912
Ames,4898
Bismarck,4895
Chester,4885
Jena,4870
Leverkusen,4863
Metairie,4860
Miami Beach,4855
Fort McMurray,4851
Salinas,4850
Harrisonburg,4847
Edina,4816
Boynton Beach,4814
Yuma,4810
Bozeman,4803
Toms River,4798
Tracy,4797
Mankato,4795
Escondido,4794
Idaho Falls,4782
Muskegon,4771
Oxnard,4735
Provo,4733
Bryan,4726
Somerville,4715
Santa Fe,4697
Waterbury,4680
Elk Grove Village,4655
Golden,4651
Burnsville,4640
Las Cruces,4639
Wheeling,4639
Elizabethtown,4608
Chula Vista,4598
Greenfield,4597
Sandy,4592
San Luis Obispo,4588
Lewiston,4586
Union,4584
Sioux City,4580
Glen Burnie,4573
Saratoga Springs,4573
Norman,4572
Long Island City,4557
Greensburg,4556
Flagstaff,4548
Niles,4546
Brantford,4543
Pembroke Pines,4541
Dothan,4539
Mechanicsburg,4535
Racine,4527
Napa,4522
Fort Meade,4518
Gastonia,4518
Saarbrücken,4515
Longmont,4513
Cumming,4497
Springdale,4483
Hendersonville,4480
Grand Junction,4468
Orem,4457
Winter Park,4457
Stafford,4447
Frankfort,4444
Valdosta,4444
Annapolis Junction,4442
Moncton,4441
Westlake,4431
Wolfsburg,4428
Palm Beach Gardens,4425
Fontana,4423
Nampa,4422
Oak Brook,4420
Aiken,4418
Prince George,4408
Lake Mary,4391
Coquitlam,4371
State College,4369
Elizabeth,4354
Owings Mills,4352
Victorville,4330
Livingston,4326
Gatineau,4325
West Hartford,4322
Fenton,4316
Orland Park,4297
Nanaimo,4264
Bothell,4246
Buford,4244
Webster,4236
Exton,4228
Waterford,4225
Sherbrooke,4215
Iowa City,4213
Tustin,4211
Johnstown,4208
Vero Beach,4206
Texarkana,4203
Des Plaines,4195
Red Deer,4194
Coral Springs,4193
Jeffersonville,4192
Natick,4189
Mission Viejo,4173
Folsom,4170
Delray Beach,4163
Carlisle,4155
Mishawaka,4155
Kamloops,4154
Dartmouth,4152
Hawthorne,4152
Summerville,4144
Lehi,4131
Lévis,4124
Stuart,4119
Jupiter,4116
Schenectady,4114
Hoboken,4098
Commerce,4097
Geneva,4095
Newburgh,4090
Mentor,4089
Hershey,4086
Killeen,4086
Moreno Valley,4085
College Park,4083
City of Sunrise,4075
Missoula,4071
O'Fallon,4059
Fullerton,4049
Conroe,4048
Chambersburg,4043
Westborough,4043
Jefferson City,4031
Brooklyn Park,4030
Pomona,4024
Owensboro,4017
Chino,4013
Middleton,4013
La Jolla,4012
New Braunfels,4012
Cheyenne,4010
Yakima,4005
Puyallup,4004
Battle Creek,4002
Elmhurst,3997
Paderborn,3993
Maplewood,3991
Richland,3990
Midlothian,3984
Fall River,3977
Norwood,3977
Venice,3975
Jasper,3971
Vacaville,3970
Hialeah,3968
Skokie,3967
Göttingen,3964
Edmond,3958
Saint George,3957
McDonough,3950
Clovis,3947
Deerfield,3928
Plantation,3928
Camarillo,3927
Glen Allen,3913
Fond du Lac,3909
Ludwigsburg,3905
Douglasville,3902
Flushing,3896
Redlands,3893
Simi Valley,3893
Findlay,3881
Palm Springs,3881
Lynnwood,3875
Muncie,3872
Maple Grove,3870
San Angelo,3867
Taylor,3867
Weston,3855
Wichita Falls,3848
Bayreuth,3845
Santa Fe Springs,3842
Stillwater,3841
Clayton,3834
Rocky Mount,3827
Foster City,3823
Williston,3820
Freehold,3819
Jamaica,3818
Van Nuys,3818
Baytown,3815
Logan,3815
Ithaca,3812
Saint John,3804
Janesville,3801
Coppell,3798
Maitland,3798
Piscataway,3789
Gulfport,3788
Cerritos,3775
Greenwich,3767
Brownsville,3763
Monterey,3761
Freeport,3757
Hanau am Main,3755
Antioch,3739
Pearland,3739
Fort Mill,3734
Schwerin,3730
Strongsville,3728
Vista,3723
Mooresville,3721
Williamsport,3720
San Rafael,3719
Drummondville,3712
Grand Island,3711
Grand Forks,3702
Shelby,3702
Cedar Park,3690
Duncan,3690
Hauppauge,3689
Batavia,3687
Medina,3682
Offenbach,3679
West Valley City,3679
Camp Hill,3671
Raleigh-Durham,3665
Oswego,3662
Whittier,3654
Dalton,3642
Pforzheim,3640
Gardena,3635
Dubuque,3631
Peterborough,3631
Shawnee,3631
Gelsenkirchen,3626
Research Triangle Park,3622
Clifton,3612
Humble,3612
Butler,3599
Deer Park,3598
Lombard,3589
Kaiserslautern,3588
Greer,3587
San Juan,3586
Waukegan,3584
Park City,3580
Beverly,3568
Thunder Bay,3559
Northridge,3556
Lake City,3555
Hackensack,3552
Newnan,3551
Murray,3547
Waldorf,3547
Hattiesburg,3535
Westfield,3534
Miramar,3525
Taunton,3525
Santa Maria,3517
Rosemont,3516
Royal Oak,3512
Council Bluffs,3508
Helena,3508
Braintree,3500
Altamonte Springs,3494
Warsaw,3492
Cumberland,3486
Secaucus,3483
Shelbyville,3472
Federal Way,3471
Monticello,3467
Wauwatosa,3454
Menomonee Falls,3450
Belmont,3448
Wyoming,3447
Merrillville,3444
Valparaiso,3437
Valencia,3436
Downey,3430
Lower Mainland,3423
Draper,3418
Vineland,3415
Highland,3414
Biloxi,3411
Coeur d'Alene,3411
Westerville,3407
Binghamton,3396
Saint Louis Park,3393
Oberhausen,3391
Fort Walton Beach,3388
Liberty,3370
Mülheim an der Ruhr,3366
Kingsport,3357
Suwanee,3355
Pickering,3352
University Park,3352
Monroeville,3350
Rochester Hills,3339
Bossier City,3329
Fürth,3325
Cranston,3319
Emeryville,3315
Gütersloh,3311
Danvers,3310
Fishers,3307
Twin Falls,3286
Warner Robins,3286
Grove City,3282
New Bedford,3271
Elk Grove,3266
North Little Rock,3264
Pontiac,3264
Allen,3260
Paris,3258
Wilson,3251
Corvallis,3250
Fort Pierce,3248
West Covina,3247
Hagen,3246
Westwood,3242
Tucker,3240
Bloomfield,3239
Neenah,3233
Smithfield,3233
Needham,3231
Lethbridge,3226
Sindelfingen,3221
Port Charlotte,3219
Kennewick,3211
Burlingame,3210
Hildesheim,3207
Cookeville,3204
Paducah,3204
Kitchener-Waterloo,3202
Vallejo,3200
Shakopee,3198
Fort Belvoir,3194
Landshut,3181
New Hyde Park,3177
Palm Desert,3177
Reutlingen,3177
Layton,3172
Goshen,3171
Alameda,3169
Buena Park,3163
East Brunswick,3162
Sheboygan,3161
Cape Coral,3159
Marshall,3159
Fort St. John,3152
Fairbanks,3143
North Las Vegas,3139
West Jordan,3132
Shelton,3124
Solingen,3124
Chilliwack,3116
El Cajon,3112
Sidney,3106
Summit,3099
Prescott,3095
Petersburg,3094
Santa Cruz,3094
Trier,3094
North Canton,3087
Issaquah,3085
Destin,3080
Lawton,3076
Zanesville,3076
Gurnee,3074
Suffolk,3072
Sandusky,3071
Stevens Point,3068
Lüneburg,3064
Thornton,3057
Boucherville,3056
Home Based,3051
Richfield,3043
Beachwood,3041
Glenview,3028
Hicksville,3025
Cape Girardeau,3024
Bel Air,3020
Petaluma,3010
Herzogenaurach,3004
Martinsburg,3004
Peabody,3002
Paterson,3000
Orangeburg,2997
Huntersville,2996
Bluffton,2995
Spring Hill,2990
Carson,2982
Chatsworth,2980
Hoffman Estates,2974
Great Falls,2971
Bremerton,2969
Pottstown,2968
North Hollywood,2966
Southlake,2965
Sherman Oaks,2961
Wellington,2958
Farmingdale,2952
Westchester,2949
Leominster,2945
Kokomo,2943
Deerfield Beach,2935
Thomasville,2927
Baden-Baden,2926
Casper,2923
Conyers,2918
Basking Ridge,2917
Carson City,2917
Garden Grove,2916
Centerville,2914
Galveston,2913
Township of Cranberry,2910
West Columbia,2909
Campbell,2899
Wallingford,2878
Parker,2875
Urbana,2874
Tigard,2868
Doylestown,2862
Johnston,2860
Shrewsbury,2852
Bremerhaven,2844
Jamestown,2844
Trois-Rivières,2844
Chelsea,2840
Edinburg,2836
Gießen,2833
Slidell,2830
Kearney,2828
Chelmsford,2823
Arvada,2821
Neu Isenburg,2813
Saint Peters,2808
Orange Park,2806
Lodi,2805
Böblingen,2804
Statesville,2795
East Hanover,2794
Apple Valley,2793
South Jordan,2793
Plymouth Meeting,2784
Norderstedt,2779
Bay City,2776
Hermitage,2776
Eureka,2774
Tupelo,2773
Lakeville,2772
Urbandale,2771
Pocatello,2769
Hamm,2768
Ravensburg,2768
Mission,2766
Simpsonville,2762
Rosenheim,2758
Berlin-Kreuzberg,2755
East Hartford,2745
Peachtree City,2743
Neumünster,2738
Flower Mound,2734
New Westminster,2733
Hilliard,2729
Winter Haven,2729
Leawood,2727
Minden,2721
Northfield,2721
Sebring,2718
Florham Park,2700
West Sacramento,2698
Gresham,2695
Newtown,2695
Plainview,2691
Canonsburg,2689
West Hollywood,2689
Bowie,2685
Broken Arrow,2683
Vernon Hills,2683
Langhorne,2681
Thornhill,2680
Lake Worth,2679
Conshohocken,2677
Beaufort,2672
Fulda,2672
Meriden,2671
Tukwila,2670
Port Coquitlam,2669
Zwickau,2667
Newington,2665
Remscheid,2665
Southaven,2665
Bamberg,2662
Hillsborough,2661
Novato,2652
Whitby,2652
Buffalo Grove,2640
Twinsburg,2638
Ratingen,2634
La Porte,2633
Turlock,2631
Holyoke,2630
Marlton,2629
Moorestown,2628
Bay Shore,2626
Harlingen,2626
Horsham,2626
Blaine,2622
Santa Clarita,2619
Arcadia,2618
Schweinfurt,2612
Snellville,2610
Fort Bragg,2608
Granby,2607
Casa Grande,2606
Lacey,2606
Oak Park,2606
Normal,2604
Dulles,2603
Clackamas,2600
Pleasant Hill,2600
Montclair,2599
Matthews,2598
Gera,2597
Groton,2596
Claremont,2592
Doral,2592
Lansdale,2591
Harrison,2590
Wheaton,2587
New Bern,2582
Reynoldsburg,2581
Rockwall,2581
Friedrichshafen,2576
Waynesboro,2575
East Lansing,2573
Gadsden,2573
Hyannis,2572
Garner,2570
Ajax,2567
Hutchinson,2567
Branson,2566
Bensalem,2564
Poway,2564
Rolling Meadows,2563
New Berlin,2562
Maryville,2561
Moline,2561
Gilroy,2560
Atlantic City,2559
Wakefield,2557
Upland,2555
Tomball,2554
Cupertino,2553
Los Gatos,2547
Exeter,2544
Crystal Lake,2539
Golden Valley,2537
Solon,2534
Sumter,2534
Berwyn,2521
West Lafayette,2521
Enfield,2519
Ankeny,2513
Goldsboro,2509
Aschaffenburg,2506
Lone Tree,2506
Tarrytown,2504
Blacksburg,2502
Hilton Head Island,2501
Hebron,2500
Inglewood,2496
Fitchburg,2495
Seymour,2492
Lisle,2490
Mount Prospect,2487
Riverdale,2486
Salina,2486
Goodyear,2484
Medicine Hat,2483
Elyria,2479
Cartersville,2471
Ypsilanti,2471
Manitowoc,2469
Flensburg,2467
Norristown,2467
Lufkin,2466
Latham,2465
Westlake Village,2463
Mason City,2460
Astoria,2459
Cicero,2456
Romulus,2456
Aventura,2455
Hot Springs,2455
Noblesville,2455
San Bruno,2454
Bridgeton,2450
Marburg an der Lahn,2448
Villingen-Schwenningen,2446
Murrieta,2442
Plattsburgh,2438
Foley,2436
North Bay,2435
Panama City Beach,2433
Brossard,2432
Wooster,2429
Saint-Hubert,2428
Brookline,2419
Fredericton,2419
Pointe-Claire,2417
New London,2416
Torrington,2414
Madison Heights,2413
Riverview,2412
Clermont,2404
Key West,2403
Lanham,2402
Beavercreek,2400
Keene,2400
Billerica,2399
Sherwood Park,2398
Winter Garden,2397
Hunt Valley,2396
Castle Rock,2385
New Britain,2385
New Port Richey,2383
Dedham,2382
Minot,2380
Kingman,2378
Libertyville,2378
Lumberton,2378
Siegen,2378
Warrenton,2376
Staunton,2375
Homestead,2373
Bartlett,2370
Recklinghausen,2369
Pleasant Prairie,2365
Elkton,2361
Kingwood,2361
Oak Lawn,2361
Levittown,2357
Chanhassen,2349
Oakdale,2349
Wilton,2348
Norwich,2347
Konstanz,2344
Boone,2343
Bad Homburg vor der Höhe,2342
Rocklin,2340
Woodland,2340
League City,2335
Maple Ridge,2335
Lee's Summit,2334
Township of Brick,2334
Ramsey,2333
Austell,2331
Burleson,2331
Egg Harbor Township,2327
Orillia,2326
Fountain Valley,2323
Montrose,2321
Apopka,2320
Bruchsal,2320
Marshfield,2317
Palm Bay,2317
Pasco,2313
Tinley Park,2309
Harvey,2304
Stanford,2304
Ormond Beach,2302
Pooler,2302
Tualatin,2300
Tübingen,2291
Esslingen,2289
Montebello,2289
Stoney Creek,2289
Beltsville,2287
Bad Kreuznach,2285
Pittsburg,2284
McHenry,2282
Titusville,2276
Pittsfield,2274
Ellicott City,2272
Chillicothe,2268
Brooksville,2266
Selma,2266
Cedar Falls,2265
Edwardsville,2264
South Plainfield,2263
Dessau-Roßlau,2258
Highland Park,2258
Stoughton,2258
West Orange,2258
Davis,2250
Clifton Park,2248
Lockport,2247
Spokane Valley,2246
Palm Coast,2239
Worms,2232
Hoover,2231
Sault Ste. Marie,2230
Lake Zurich,2227
Canoga Park,2220
Northampton,2218
Statesboro,2218
Williamsville,2217
Passau,2216
Collegeville,2209
Carol Stream,2206
Voorhees,2206
Garching bei München,2203
Sarnia,2203
Tysons Corner,2202
Maywood,2194
Wenatchee,2191
Centralia,2187
Stow,2187
Wetzlar,2186
Lynn,2185
Work at Home,2185
Sierra Vista,2183
Romeoville,2180
Sherman,2177
Parma,2175
Pineville,2175
Göppingen,2172
Fairview Heights,2169
Kempten (Allgäu),2169
Howell,2168
Berlin-Friedrichshain,2167
Alhambra,2166
Biberach an der Riß,2166
Liverpool,2163
Delaware,2158
Coon Rapids,2154
Berlin-Mitte,2153
Michigan City,2152
San Dimas,2150
Stockbridge,2150
Weatherford,2149
Lippstadt,2147
Hazleton,2145
Woonsocket,2142
Edgewood,2141
Coburg,2138
West Bend,2138
Midwest City,2137
Kalispell,2131
Monterey Park,2130
Caldwell,2127
Lees Summit,2127
Grand Blanc,2117
Encino,2116
Sevierville,2116
Oak Ridge,2113
Palm Beach,2113
Alton,2111
Bergisch Gladbach,2109
Port Washington,2109
Sedalia,2107
Benton,2105
Gallatin,2105
Greenbelt,2104
Sandy Springs,2101
Bietigheim-Bissingen,2099
Fairmont,2096
Stone Mountain,2095
North Brunswick,2093
Glendora,2092
Wismar,2092
Leinfelden-Echterdingen,2091
Keller,2090
Troisdorf,2086
Methuen,2085
Neckarsulm,2081
Miamisburg,2079
Beckley,2077
Bolton,2075
Hurst,2069
Rock Island,2067
Cottbus,2066
Daly City,2066
Worthington,2066
Redondo Beach,2065
Langenhagen,2063
Marina del Rey,2063
Morrow,2061
Bonita Springs,2056
Penticton,2056
North Olmsted,2054
LaGrange,2047
Jefferson,2045
Palatine,2043
Aalen,2042
Opelika,2042
Gary,2038
Clarksburg,2037
Victor,2037
Langenfeld,2033
Yuba City,2032
Plant City,2030
Willow Grove,2024
Surprise,2022
Colonial Heights,2021
Uniontown,2020
Haverhill,2019
Brainerd,2018
Pelham,2018
Russellville,2018
South Portland,2018
Perrysburg,2016
Kapolei,2015
Trumbull,2012
Celle,2010
Quantico,2007
Clearfield,2006
Dickinson,2004
Sylmar,2003
Lake Oswego,2001
Carbondale,2000
DeLand,1987
Sparta,1986
Attleboro,1985
Melrose Park,1985
Olive Branch,1983
Tampa Bay,1975
Kahului,1972
Linden,1972
Offenburg,1970
Elmira,1965
Wilsonville,1965
Herne,1964
Mahwah,1964
Media,1964
Flemington,1963
Willoughby,1963
Merrimack,1962
Salzgitter,1962
Calabasas,1960
Cranbury,1960
Massillon,1960
Wesley Chapel,1960
Dorchester,1957
Estero,1957
Manteca,1956
North Haven,1956
Merced,1955
Palm Harbor,1955
Avondale,1952
Waterville,1952
Bloomingdale,1949
Lake Havasu City,1949
Maumee,1948
Parkersburg,1944
Hamden,1941
Saint-Jean-sur-Richelieu,1941
La Grange,1937
Munster,1937
Culpeper,1933
Iselin,1931
Peru,1931
Bethel,1926
Kernersville,1925
Aliso Viejo,1924
Saint-Hyacinthe,1923
Gettysburg,1922
Hempstead,1922
Houma,1922
Hackettstown,1921
Cuyahoga Falls,1920
Highlands Ranch,1918
Oldsmar,1918
Charlestown,1917
Verona,1916
Landau in der Pfalz,1914
Forest Park,1913
Edgewater,1908
Lithonia,1908
Gotha,1907
Eschborn,1901
Lithia Springs,1901
Oviedo,1901
Rosemead,1901
Westbury,1901
New Hartford,1899
Wake Forest,1899
Bemidji,1895
Westport,1889
Griffin,1888
Brewster,1887
Pawtucket,1886
Chaska,1884
West Bloomfield Township,1883
Glens Falls,1879
McMinnville,1879
Gloucester,1878
Duarte,1876
Roseburg,1874
Litchfield,1873
Hastings,1872
Ardmore,1869
DeKalb,1867
Terrebonne,1866
Montpelier,1864
Dorval,1862
San Carlos,1862
Watsonville,1862
Barrington,1856
Hobbs,1854
Beloit,1849
North Andover,1849
Fulton,1843
Lincolnshire,1843
Freising,1842
Klamath Falls,1842
Kanata,1840
Madera,1839
Rancho Mirage,1839
Gretna,1838
Acworth,1836
Universal City,1835
Manhattan Beach,1834
Clinton Township,1831
North Wales,1830
Hanford,1829
Lewisburg,1828
Blue Bell,1825
Neptune City,1823
Limburg an der Lahn,1822
Tinton Falls,1821
Canal de la Rive Sud,1818
Mountain Home,1815
Pembroke,1815
Martinez,1813
Leavenworth,1812
Neustadt an der Weinstraße,1812
Homewood,1810
Wixom,1809
Anjou,1808
Groveport,1807
San Clemente,1806
